model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12957, 48.753569499112444, 51.246430500887556]
model_200_5_1:[12957, 60.56185845488925, 39.43814154511075]
model_150_15_1:[12957, 53.65439530755576, 46.34560469244423]
model_200_10_1:[12957, 58.89480589642664, 41.10519410357335]
model_75_15_1:[12957, 43.227598981245656, 56.77240101875434]
model_225_15_1:[12957, 56.80327236242958, 43.196727637570426]
model_175_10_1:[12957, 57.69082349309254, 42.30917650690746]
model_50_10_1:[12957, 37.47009338581462, 62.52990661418538]
model_100_5_1:[12957, 53.87049471328239, 46.1295052867176]
model_100_15_1:[12957, 48.42170255460369, 51.578297445396316]
model_150_5_1:[12957, 58.53206760824264, 41.46793239175735]
model_125_10_1:[12957, 53.97854441614571, 46.02145558385429]
model_225_5_1:[12957, 61.17928532839392, 38.82071467160608]
model_125_15_1:[12957, 51.80211468704176, 48.19788531295824]
model_100_10_1:[12957, 51.36991587558849, 48.63008412441152]
model_225_10_1:[12957, 59.41961873890561, 40.58038126109439]
model_175_15_1:[12957, 55.097630624372925, 44.902369375627075]
model_50_15_1:[12957, 35.20104962568496, 64.79895037431504]
model_150_10_1:[12957, 56.509994597514854, 43.490005402485146]
model_200_15_1:[12957, 55.97746391911708, 44.022536080882915]
model_75_10_1:[12957, 46.33016902060662, 53.669830979393375]
model_50_5_1:[12957, 39.13714594427722, 60.86285405572277]
model_175_5_1:[12957, 59.47364359033727, 40.526356409662725]
model_125_5_1:[12957, 56.633479972215795, 43.36652002778421]
