model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[11498, 7.1490694033745, 92.8509305966255]
model_200_5_1:[11498, 6.731605496608106, 93.26839450339189]
model_25_5_1:[11498, 4.165941902939642, 95.83405809706036]
model_150_15_1:[11498, 7.236041050617499, 92.7639589493825]
model_200_10_1:[11498, 5.7053400591407195, 94.29465994085928]
model_75_15_1:[11498, 7.983997216907287, 92.01600278309272]
model_225_15_1:[11498, 6.270655766220212, 93.72934423377978]
model_175_10_1:[11498, 6.053226648112715, 93.94677335188729]
model_50_10_1:[11498, 7.053400591407201, 92.9465994085928]
model_100_5_1:[11498, 7.009914767785702, 92.9900852322143]
model_25_15_1:[11498, 4.844320751435032, 95.15567924856498]
model_100_15_1:[11498, 7.914419899112889, 92.08558010088711]
model_150_5_1:[11498, 6.844668638024004, 93.155331361976]
model_125_10_1:[11498, 6.6272395199165075, 93.3727604800835]
model_225_5_1:[11498, 6.688119672986606, 93.3118803270134]
model_125_15_1:[11498, 7.479561662897895, 92.5204383371021]
model_25_10_1:[11498, 4.357279526874239, 95.64272047312576]
model_100_10_1:[11498, 7.062097756131501, 92.93790224386849]
model_225_10_1:[11498, 5.427030787963124, 94.57296921203687]
model_175_15_1:[11498, 6.931640285267003, 93.06835971473299]
model_50_15_1:[11498, 7.453470168724996, 92.54652983127501]
model_150_10_1:[11498, 6.244564272047313, 93.75543572795269]
model_200_15_1:[11498, 6.731605496608106, 93.26839450339189]
model_75_10_1:[11498, 7.062097756131501, 92.93790224386849]
model_50_5_1:[11498, 6.148895460080014, 93.85110453991999]
model_175_5_1:[11498, 6.844668638024004, 93.155331361976]
model_125_5_1:[11498, 7.079492085580101, 92.9205079144199]
