model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[11498, 5.940163506696817, 94.05983649330318]
model_200_10_0:[11498, 6.148895460080014, 93.85110453991999]
model_150_15_0:[11498, 5.809706035832319, 94.19029396416768]
model_50_10_0:[11498, 5.72273438858932, 94.27726561141068]
model_100_5_0:[11498, 7.253435380066097, 92.7465646199339]
model_175_10_0:[11498, 6.3750217429118115, 93.62497825708819]
model_225_15_0:[11498, 5.696642894416421, 94.30335710558359]
model_100_15_0:[11498, 5.905374847799617, 94.09462515220038]
model_25_15_0:[11498, 3.1309793007479563, 96.86902069925203]
model_125_10_0:[11498, 6.575056531570708, 93.42494346842929]
model_150_5_0:[11498, 7.218646721168899, 92.7813532788311]
model_75_5_0:[11498, 7.409984345103496, 92.5900156548965]
model_25_5_0:[11498, 4.7225604452948335, 95.27743955470517]
model_200_5_0:[11498, 7.027309097234302, 92.97269090276569]
model_175_5_0:[11498, 7.009914767785702, 92.9900852322143]
model_125_5_0:[11498, 7.1490694033745, 92.8509305966255]
model_125_15_0:[11498, 5.948860671421117, 94.05113932857888]
model_100_10_0:[11498, 6.888154461645503, 93.1118455383545]
model_25_10_0:[11498, 4.044181596799444, 95.95581840320055]
model_225_5_0:[11498, 7.053400591407201, 92.9465994085928]
model_50_15_0:[11498, 5.279178987650026, 94.72082101234997]
model_175_15_0:[11498, 6.183684118977213, 93.81631588102279]
model_225_10_0:[11498, 6.305444425117411, 93.69455557488259]
model_75_10_0:[11498, 6.505479213776309, 93.49452078622369]
model_50_5_0:[11498, 6.505479213776309, 93.49452078622369]
model_200_15_0:[11498, 5.68794572969212, 94.31205427030788]
model_150_10_0:[11498, 6.322838754566011, 93.677161245434]
