model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[11664, 11.119684499314129, 88.88031550068587]
model_200_5_1:[11664, 10.425240054869684, 89.57475994513031]
model_25_5_1:[11664, 6.421467764060357, 93.57853223593965]
model_150_15_1:[11664, 8.78772290809328, 91.21227709190673]
model_200_10_1:[11664, 9.147805212620028, 90.85219478737997]
model_75_15_1:[11664, 9.276406035665294, 90.7235939643347]
model_225_15_1:[11664, 7.656035665294924, 92.34396433470508]
model_175_10_1:[11664, 9.447873799725652, 90.55212620027436]
model_50_10_1:[11664, 9.430727023319616, 90.56927297668038]
model_100_5_1:[11664, 11.325445816186557, 88.67455418381344]
model_25_15_1:[11664, 5.161179698216736, 94.83882030178327]
model_100_15_1:[11664, 9.267832647462278, 90.73216735253772]
model_150_5_1:[11664, 11.051097393689986, 88.94890260631001]
model_125_10_1:[11664, 9.859396433470508, 90.14060356652949]
model_225_5_1:[11664, 10.330932784636488, 89.66906721536351]
model_125_15_1:[11664, 9.010631001371742, 90.98936899862827]
model_25_10_1:[11664, 6.121399176954732, 93.87860082304526]
model_100_10_1:[11664, 10.056584362139917, 89.94341563786008]
model_225_10_1:[11664, 8.89917695473251, 91.10082304526749]
model_175_15_1:[11664, 8.393347050754459, 91.60665294924554]
model_50_15_1:[11664, 8.659122085048011, 91.34087791495199]
model_150_10_1:[11664, 9.790809327846365, 90.20919067215364]
model_200_15_1:[11664, 8.041838134430728, 91.95816186556928]
model_75_10_1:[11664, 9.987997256515776, 90.01200274348422]
model_50_5_1:[11664, 9.713648834019205, 90.28635116598079]
model_175_5_1:[11664, 10.768175582990398, 89.23182441700959]
model_125_5_1:[11664, 11.265432098765432, 88.73456790123457]
