model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[12817, 16.07240383865179, 83.9275961613482]
model_200_10_0:[12817, 17.86689552937505, 82.13310447062496]
model_150_15_0:[12817, 17.625029258016696, 82.3749707419833]
model_50_10_0:[12817, 13.911211671998128, 86.08878832800187]
model_100_5_0:[12817, 16.868221892798626, 83.13177810720137]
model_175_10_0:[12817, 18.280408832019972, 81.71959116798003]
model_225_15_0:[12817, 18.00733400951861, 81.9926659904814]
model_100_15_0:[12817, 17.133494577514238, 82.86650542248576]
model_25_15_0:[12817, 8.04400405711165, 91.95599594288835]
model_125_10_0:[12817, 17.74986346258875, 82.25013653741125]
model_150_5_0:[12817, 18.061948974018883, 81.93805102598112]
model_75_5_0:[12817, 16.259655145509868, 83.74034485449013]
model_25_5_0:[12817, 9.713661543262853, 90.28633845673714]
model_200_5_0:[12817, 17.390965124444097, 82.60903487555589]
model_175_5_0:[12817, 18.08535538737614, 81.91464461262386]
model_125_5_0:[12817, 17.453382226730124, 82.54661777326989]
model_125_15_0:[12817, 17.60942498244519, 82.39057501755481]
model_100_10_0:[12817, 17.58601856908793, 82.41398143091206]
model_25_10_0:[12817, 8.933447764687525, 91.06655223531247]
model_225_5_0:[12817, 17.656237809159713, 82.34376219084028]
model_50_15_0:[12817, 14.589997659358664, 85.41000234064133]
model_175_15_0:[12817, 17.74986346258875, 82.25013653741125]
model_225_10_0:[12817, 17.44558008894437, 82.55441991105563]
model_75_10_0:[12817, 16.579542794725754, 83.42045720527425]
model_50_5_0:[12817, 14.293516423500039, 85.70648357649996]
model_200_15_0:[12817, 17.929312631661077, 82.07068736833892]
model_150_10_0:[12817, 17.640633533588204, 82.3593664664118]
