model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[11796, 22.09223465581553, 77.90776534418447]
model_200_5_1:[11796, 23.16887080366226, 76.83112919633774]
model_25_5_1:[11796, 12.23296032553408, 87.76703967446592]
model_150_15_1:[11796, 23.999660902000677, 76.00033909799933]
model_200_10_1:[11796, 22.787385554425228, 77.21261444557477]
model_75_15_1:[11796, 20.905391658189217, 79.09460834181078]
model_225_15_1:[11796, 22.600881654798236, 77.39911834520177]
model_175_10_1:[11796, 23.194303153611393, 76.8056968463886]
model_50_10_1:[11796, 18.090878263818244, 81.90912173618176]
model_100_5_1:[11796, 23.13496100373008, 76.86503899626992]
model_25_15_1:[11796, 10.545947778908104, 89.4540522210919]
model_100_15_1:[11796, 22.5754493048491, 77.4245506951509]
model_150_5_1:[11796, 23.779247202441507, 76.2207527975585]
model_125_10_1:[11796, 23.084096303831807, 76.9159036961682]
model_225_5_1:[11796, 22.956934554086132, 77.04306544591387]
model_125_15_1:[11796, 23.151915903696167, 76.84808409630384]
model_25_10_1:[11796, 10.528992878942015, 89.471007121058]
model_100_10_1:[11796, 22.550016954899966, 77.44998304510004]
model_225_10_1:[11796, 22.100712105798575, 77.89928789420142]
model_175_15_1:[11796, 23.52492370295015, 76.47507629704985]
model_50_15_1:[11796, 17.26008816547982, 82.73991183452017]
model_150_10_1:[11796, 23.43167175313666, 76.56832824686335]
model_200_15_1:[11796, 23.05866395388267, 76.94133604611733]
model_75_10_1:[11796, 21.363173957273652, 78.63682604272636]
model_50_5_1:[11796, 18.777551712444897, 81.22244828755511]
model_175_5_1:[11796, 23.48253645303493, 76.51746354696508]
model_125_5_1:[11796, 23.73685995252628, 76.26314004747373]
