model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[11796, 20.125466259749068, 79.87453374025093]
model_200_10_0:[11796, 22.846727704306545, 77.15327229569345]
model_150_15_0:[11796, 22.99084435401831, 77.00915564598169]
model_50_10_0:[11796, 17.709393014581217, 82.29060698541879]
model_100_5_0:[11796, 21.134282807731434, 78.86571719226858]
model_175_10_0:[11796, 23.82163445235673, 76.17836554764327]
model_225_15_0:[11796, 23.007799253984402, 76.9922007460156]
model_100_15_0:[11796, 21.897253306205496, 78.10274669379451]
model_25_15_0:[11796, 9.969481180061038, 90.03051881993896]
model_125_10_0:[11796, 22.71956595456087, 77.28043404543912]
model_150_5_0:[11796, 22.829772804340454, 77.17022719565955]
model_75_5_0:[11796, 19.77789081044422, 80.22210918955578]
model_25_5_0:[11796, 11.427602577144794, 88.5723974228552]
model_200_5_0:[11796, 23.35537470328925, 76.64462529671074]
model_175_5_0:[11796, 22.363513055272975, 77.63648694472703]
model_125_5_0:[11796, 21.778569006442865, 78.22143099355714]
model_125_15_0:[11796, 22.482197355035606, 77.51780264496439]
model_100_10_0:[11796, 21.83791115632418, 78.16208884367583]
model_25_10_0:[11796, 11.444557477110886, 88.55544252288911]
model_225_5_0:[11796, 23.151915903696167, 76.84808409630384]
model_50_15_0:[11796, 16.65818921668362, 83.34181078331639]
model_175_15_0:[11796, 23.592743302814515, 76.40725669718549]
model_225_10_0:[11796, 22.846727704306545, 77.15327229569345]
model_75_10_0:[11796, 20.074601559850798, 79.9253984401492]
model_50_5_0:[11796, 17.09053916581892, 82.90946083418108]
model_200_15_0:[11796, 23.21973550356053, 76.78026449643947]
model_150_10_0:[11796, 22.897592404204815, 77.10240759579519]
