model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_15_0:[12569, 11.544275598695203, 88.4557244013048]
model_200_10_0:[12569, 13.063887341872862, 86.93611265812714]
model_150_15_0:[12569, 13.15936033097303, 86.84063966902697]
model_50_10_0:[12569, 10.60545787254356, 89.39454212745645]
model_100_5_0:[12569, 13.063887341872862, 86.93611265812714]
model_175_10_0:[12569, 13.047975177022833, 86.95202482297717]
model_225_15_0:[12569, 13.199140743098098, 86.8008592569019]
model_100_15_0:[12569, 11.790914153870634, 88.20908584612937]
model_25_15_0:[12569, 4.574747394383006, 95.42525260561699]
model_125_10_0:[12569, 13.230965072798154, 86.76903492720184]
model_150_5_0:[12569, 13.079799506722889, 86.92020049327711]
model_75_5_0:[12569, 11.67952899992044, 88.32047100007956]
model_25_5_0:[12569, 5.815896252685178, 94.18410374731482]
model_200_5_0:[12569, 12.944546105497654, 87.05545389450235]
model_175_5_0:[12569, 13.15936033097303, 86.84063966902697]
model_125_5_0:[12569, 13.28665764977325, 86.71334235022675]
model_125_15_0:[12569, 13.135492083697986, 86.86450791630202]
model_100_10_0:[12569, 12.499005489696874, 87.50099451030313]
model_25_10_0:[12569, 5.664730686609913, 94.33526931339009]
model_225_5_0:[12569, 13.40599888614846, 86.59400111385153]
model_50_15_0:[12569, 9.610947569416819, 90.38905243058318]
model_175_15_0:[12569, 12.427400747871747, 87.57259925212824]
model_225_10_0:[12569, 13.819715172249184, 86.18028482775082]
model_75_10_0:[12569, 11.862518895695759, 88.13748110430424]
model_50_5_0:[12569, 10.088312514917655, 89.91168748508235]
model_200_15_0:[12569, 13.215052907948127, 86.78494709205188]
model_150_10_0:[12569, 13.453735380698545, 86.54626461930147]
