model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[12817, 18.966996957166263, 81.03300304283374]
model_200_5_1:[12817, 19.47413591324023, 80.52586408675977]
model_25_5_1:[12817, 10.119372708122025, 89.88062729187799]
model_150_15_1:[12817, 22.91487867675743, 77.08512132324256]
model_200_10_1:[12817, 21.767964422251698, 78.2320355777483]
model_75_15_1:[12817, 20.901927128033083, 79.09807287196692]
model_225_15_1:[12817, 20.909729265818836, 79.09027073418116]
model_175_10_1:[12817, 22.399937582897714, 77.6000624171023]
model_50_10_1:[12817, 17.055473199656706, 82.9445268003433]
model_100_5_1:[12817, 19.36490598423968, 80.63509401576032]
model_25_15_1:[12817, 10.829367246625575, 89.17063275337442]
model_100_15_1:[12817, 22.540376063041272, 77.45962393695872]
model_150_5_1:[12817, 20.394788171959117, 79.60521182804088]
model_125_10_1:[12817, 22.181477724896624, 77.81852227510338]
model_225_5_1:[12817, 19.38831239759694, 80.61168760240307]
model_125_15_1:[12817, 22.875867987828666, 77.12413201217133]
model_25_10_1:[12817, 10.353436841694624, 89.64656315830537]
model_100_10_1:[12817, 21.401263946321293, 78.5987360536787]
model_225_10_1:[12817, 21.096980572676912, 78.90301942732309]
model_175_15_1:[12817, 22.10345634703909, 77.89654365296091]
model_50_15_1:[12817, 17.952719045018334, 82.04728095498166]
model_150_10_1:[12817, 22.267301240539908, 77.73269875946009]
model_200_15_1:[12817, 21.385659670749785, 78.61434032925021]
model_75_10_1:[12817, 19.90325349145666, 80.09674650854333]
model_50_5_1:[12817, 16.509323554653974, 83.49067644534603]
model_175_5_1:[12817, 19.801825700241864, 80.19817429975814]
model_125_5_1:[12817, 19.770617149098854, 80.22938285090115]
