model:[vocabulary,percentage_correct,percentage_incorrect]
model_75_5_1:[11855, 3.854913538591312, 96.1450864614087]
model_200_5_1:[11855, 3.6271615352172075, 96.3728384647828]
model_25_5_1:[11855, 2.80894137494728, 97.19105862505272]
model_150_15_1:[11855, 3.340362716153521, 96.65963728384648]
model_200_10_1:[11855, 3.509067903838043, 96.49093209616196]
model_75_15_1:[11855, 4.091100801349642, 95.90889919865036]
model_225_15_1:[11855, 3.1547870097005486, 96.84521299029946]
model_175_10_1:[11855, 3.6693378321383383, 96.33066216786166]
model_50_10_1:[11855, 4.057359763812737, 95.94264023618726]
model_100_5_1:[11855, 3.770560944749051, 96.22943905525095]
model_25_15_1:[11855, 2.733024040489245, 97.26697595951076]
model_100_15_1:[11855, 4.040489245044285, 95.95951075495572]
model_150_5_1:[11855, 3.6862083509067904, 96.3137916490932]
model_125_10_1:[11855, 3.7283846478279212, 96.27161535217208]
model_225_5_1:[11855, 3.6609025727541122, 96.33909742724589]
model_125_15_1:[11855, 3.770560944749051, 96.22943905525095]
model_25_10_1:[11855, 3.0788696752425135, 96.92113032475748]
model_100_10_1:[11855, 3.939266132433572, 96.06073386756643]
model_225_10_1:[11855, 3.500632644453817, 96.49936735554618]
model_175_15_1:[11855, 3.1547870097005486, 96.84521299029946]
model_50_15_1:[11855, 3.981442429354703, 96.0185575706453]
model_150_10_1:[11855, 3.576549978911851, 96.42345002108816]
model_200_15_1:[11855, 3.1547870097005486, 96.84521299029946]
model_75_10_1:[11855, 4.301982285955293, 95.69801771404471]
model_50_5_1:[11855, 3.6524673133698857, 96.34753268663012]
model_175_5_1:[11855, 3.6946436102910165, 96.30535638970899]
model_125_5_1:[11855, 3.703078869675243, 96.29692113032475]
